id,rank,position,age,games,minutes played,true shooting percentage,block percentage
Alex Abrines,1,SG,24,75,1134,0.5670000000000001,0.6
Quincy Acy,2,PF,27,70,1359,0.525,1.6
Steven Adams,3,C,24,76,2487,0.63,2.8
Bam Adebayo,4,C,20,69,1368,0.57,2.5
Arron Afflalo,5,SG,32,53,682,0.516,1.1
Cole Aldrich,6,C,29,21,49,0.34,1.8
LaMarcus Aldridge,7,C,32,75,2509,0.57,3.0
Jarrett Allen,8,C,19,72,1441,0.636,4.6
Kadeem Allen,9,PG,25,18,107,0.366,1.6
Tony Allen,10,SF,36,22,273,0.514,0.9
Al-Farouq Aminu,11,PF,27,69,2072,0.522,1.6
Justin Anderson,12,SF,24,38,519,0.54,1.1
Kyle Anderson,13,SF,24,74,1978,0.5820000000000001,2.5
Ryan Anderson,14,PF,29,66,1725,0.5920000000000001,1.0
Ike Anigbogu,15,C,19,11,30,0.5579999999999999,8.9
Giannis Antetokounmpo,16,PF,23,75,2756,0.598,3.3
Carmelo Anthony,17,PF,33,78,2501,0.503,1.8
OG Anunoby,18,SF,20,74,1481,0.5870000000000001,0.8
Ryan Arcidiacono,19,PG,23,24,304,0.55,0.0
Trevor Ariza,20,SF,32,67,2269,0.5670000000000001,0.5
Darrell Arthur,21,PF,29,19,141,0.5589999999999999,1.8
Jamel Artis,22,SG,25,15,279,0.457,0.9
Omer Asik,23,C,31,18,182,0.397,1.9
D.J. Augustin,24,PG,30,75,1760,0.615,0.0
Luke Babbitt,25,SF,28,50,715,0.5760000000000001,0.8
Dwayne Bacon,26,SG,22,53,713,0.431,0.2
Ron Baker,27,SG,24,29,385,0.504,1.3
Wade Baldwin,28,PG,21,7,80,0.748,1.0
Lonzo Ball,29,PG,20,52,1780,0.444,2.0
J.J. Barea,30,PG,33,69,1603,0.545,0.2
Harrison Barnes,31,PF,25,77,2634,0.539,0.5
Will Barton,32,SG,27,81,2683,0.562,1.6
Nicolas Batum,33,SG,29,64,1981,0.523,1.0
Jerryd Bayless,34,SG,29,39,925,0.546,0.5
Aron Baynes,35,C,31,81,1485,0.502,2.9
Kent Bazemore,36,SG,28,65,1789,0.547,2.2
